	mg0	mg1	mg2	mg4	mg5	mg6
i.ln_asset	-1.031***	-1.099***	-1.066***	-1.103***	-1.070***	-1.098***
	(0.174)	(0.178)	(0.170)	(0.179)	(0.171)	(0.179)
i.cash	-0.364	-0.214	-0.027	-0.192	-0.019	-0.206
	(1.109)	(1.124)	(1.068)	(1.125)	(1.068)	(1.126)
i.roa	0.331	0.336	0.271	0.337	0.271	0.346
	(0.336)	(0.328)	(0.308)	(0.327)	(0.308)	(0.330)
i.m2b	-0.016	-0.015	-0.015	-0.014	-0.015	-0.015
	(0.021)	(0.021)	(0.017)	(0.021)	(0.017)	(0.021)
i.div	0.059	0.093	0.061	0.091	0.060	0.094
	(0.201)	(0.203)	(0.202)	(0.203)	(0.202)	(0.204)
j.age	-0.008	-0.009	-0.004	-0.009	-0.004	-0.011
	(0.023)	(0.023)	(0.024)	(0.023)	(0.024)	(0.023)
i.age	0.013	0.017	0.019*	0.017	0.019*	0.017
	(0.010)	(0.010)	(0.010)	(0.010)	(0.010)	(0.010)
i.deg.full	0.002**	0.003***	0.003***	0.003***	0.003***	0.003***
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
j.deg.full	-0.068***	-0.067***	-0.082***	-0.067***	-0.082***	-0.068***
	(0.018)	(0.018)	(0.020)	(0.018)	(0.020)	(0.018)
ij.same.region	0.610*	0.574*	0.655**	0.574*	0.654**	0.576*
	(0.237)	(0.238)	(0.243)	(0.239)	(0.244)	(0.239)
i.fm.mmc.sum	-0.370	0.683	0.440	0.686	0.440	0.682
	(0.213)	(0.553)	(0.486)	(0.554)	(0.486)	(0.553)
i.acqs.100	0.113	0.170	0.158	0.178	0.166	0.170
	(0.171)	(0.171)	(0.171)	(0.171)	(0.171)	(0.171)
j.acqs.100	2.931	2.654	3.876	2.621	3.861	2.545
	(3.798)	(3.797)	(4.002)	(3.814)	(4.024)	(3.776)
ij.cossim	2.167***	2.081***	2.116***	2.083***	2.121***	2.085***
	(0.610)	(0.613)	(0.614)	(0.615)	(0.615)	(0.614)
ij.dist	-0.380***	-0.386***	-0.400***	-0.388***	-0.402***	-0.385***
	(0.104)	(0.104)	(0.105)	(0.104)	(0.105)	(0.104)
j.constraint	-0.890	-0.910	-1.048*	-0.935	-1.068*	-0.907
	(0.491)	(0.488)	(0.501)	(0.490)	(0.502)	(0.491)
i.constraint	-5.413**	-4.359*	-3.358*	-4.377*	-3.353*	-4.373*
	(1.649)	(1.744)	(1.402)	(1.747)	(1.400)	(1.750)
i.pow.n3	-0.018	-0.017	-0.016	-0.016	-0.015	-0.017
	(0.077)	(0.075)	(0.074)	(0.075)	(0.074)	(0.075)
ij.syn.constraint	-8.575***	-8.338***	-3.538*	-8.406***	-3.587*	-8.389***
	(1.079)	(1.072)	(1.508)	(1.084)	(1.515)	(1.092)
ij.syn.pow.n3	0.017	0.018	0.016	0.035	0.031	0.017
	(0.012)	(0.012)	(0.012)	(0.028)	(0.026)	(0.012)
I(i.fm.mmc.sum^2)		-0.213*	-0.169	-0.213*	-0.169	-0.212*
		(0.101)	(0.093)	(0.101)	(0.093)	(0.101)
ij.syn.constraint x I(i.fm.mmc.sum^2)			-0.895***		-0.897***	
			(0.257)		(0.257)	
ij.syn.pow.n3 x I(i.fm.mmc.sum^2)				-0.002	-0.002	
				(0.003)	(0.003)	
ij.syn.closeness2						0.000
						(0.001)
ij.syn.closeness2 x I(i.fm.mmc.sum^2)						-0.000
						(0.000)
Likelihood-ratio	311.3	315.9	327.9	316.5	328.5	316.1
Log-likelihood	-328.0	-325.6	-319.6	-325.3	-319.4	-325.6
Deviance	650.4	645.7	633.7	645.2	633.2	645.6
AIC	690.4	687.7	677.7	689.2	679.2	691.6
BIC	761.5	762.4	756.0	767.4	761.0	773.4
N	259	259	259	259	259	259
